# T [K]		\Lambda[erg/s-cm^3]		n_e [per cm^3 per n_H]
3.3462e+03  1.7482e-25  2.8064e-11
3.4084e+03  1.7977e-25  4.6464e-11
3.4708e+03  1.8491e-25  7.5666e-11
3.5333e+03  1.9027e-25  1.2660e-09
3.5959e+03  1.9618e-25  1.9247e-09
3.6587e+03  2.0248e-25  4.9233e-09
3.7217e+03  2.0901e-25  3.8160e-09
3.7847e+03  2.1586e-25  5.9458e-09
3.8479e+03  2.2302e-25  8.6925e-09
3.9113e+03  2.3051e-25  1.2046e-08
3.9748e+03  2.3834e-25  1.6925e-08
4.0385e+03  2.4670e-25  2.3931e-08
4.1022e+03  2.5547e-25  3.2854e-08
4.1662e+03  2.6467e-25  4.5131e-08
4.2302e+03  2.7433e-25  6.1275e-08
4.2945e+03  2.8447e-25  8.2647e-08
4.3588e+03  2.9515e-25  1.1062e-07
4.4233e+03  3.0641e-25  1.4663e-07
4.4880e+03  3.1820e-25  1.9313e-07
4.5528e+03  3.3047e-25  2.5244e-07
4.6177e+03  3.4343e-25  3.2740e-07
4.6828e+03  3.5718e-25  4.2237e-07
4.7481e+03  3.7178e-25  5.4021e-07
4.8135e+03  3.8734e-25  6.8727e-07
4.8790e+03  4.0396e-25  8.6887e-07
4.9447e+03  4.2175e-25  1.0912e-06
5.0105e+03  4.4088e-25  1.3645e-06
5.0765e+03  4.6004e-25  1.6960e-06
5.1426e+03  4.8067e-25  2.0992e-06
5.2089e+03  5.0293e-25  2.5798e-06
5.2753e+03  5.2705e-25  3.1541e-06
5.3419e+03  5.5321e-25  3.8325e-06
5.4086e+03  5.8162e-25  4.6284e-06
5.4755e+03  6.1253e-25  5.5583e-06
5.5425e+03  6.4609e-25  6.6289e-06
5.6097e+03  6.8262e-25  7.8623e-06
5.6770e+03  7.2125e-25  9.2538e-06
5.7445e+03  7.6290e-25  1.0830e-05
5.8121e+03  8.0757e-25  1.2568e-05
5.8799e+03  8.5561e-25  1.4496e-05
5.9478e+03  9.0654e-25  1.6571e-05
6.0159e+03  9.6066e-25  1.8814e-05
6.0841e+03  1.0172e-24  2.1168e-05
6.1525e+03  1.0765e-24  2.3643e-05
6.2211e+03  1.1375e-24  2.6174e-05
6.2898e+03  1.2006e-24  2.8768e-05
6.3586e+03  1.2640e-24  3.1367e-05
6.4276e+03  1.3284e-24  3.3976e-05
6.4968e+03  1.3939e-24  3.6563e-05
6.5661e+03  1.4607e-24  3.9131e-05
6.6356e+03  1.5290e-24  4.1681e-05
6.7053e+03  1.5989e-24  4.4204e-05
6.7751e+03  1.6711e-24  4.6734e-05
6.8450e+03  1.7451e-24  4.9238e-05
6.9151e+03  1.8225e-24  5.1777e-05
6.9854e+03  1.9018e-24  5.4293e-05
7.0558e+03  1.9849e-24  5.6856e-05
7.1264e+03  2.0696e-24  5.9430e-05
7.1971e+03  2.1572e-24  6.2049e-05
7.2680e+03  2.2484e-24  6.4726e-05
7.3391e+03  2.3426e-24  6.7454e-05
7.4103e+03  2.4413e-24  7.0307e-05
7.4817e+03  2.5423e-24  7.3242e-05
7.5532e+03  2.6477e-24  7.6370e-05
7.6249e+03  2.7565e-24  7.9701e-05
7.6968e+03  2.8689e-24  8.3297e-05
7.7688e+03  2.9860e-24  8.7268e-05
7.8410e+03  3.1057e-24  9.1612e-05
7.9134e+03  3.2307e-24  9.6525e-05
7.9859e+03  3.3567e-24  1.0205e-04
8.0586e+03  3.4847e-24  1.0834e-04
8.1314e+03  3.6177e-24  1.1562e-04
8.2044e+03  3.7541e-24  1.2388e-04
8.2776e+03  3.8963e-24  1.3350e-04
8.3509e+03  4.0438e-24  1.4464e-04
8.4244e+03  4.1972e-24  1.5749e-04
8.4981e+03  4.3580e-24  1.7253e-04
8.5719e+03  4.5255e-24  1.8981e-04
8.6459e+03  4.7017e-24  2.0993e-04
8.7201e+03  4.8876e-24  2.3337e-04
8.7944e+03  5.0831e-24  2.6020e-04
8.8689e+03  5.2906e-24  2.9147e-04
8.9436e+03  5.5051e-24  3.2753e-04
9.0184e+03  5.7234e-24  3.6889e-04
9.0934e+03  5.9546e-24  4.1686e-04
9.1686e+03  6.1991e-24  4.7164e-04
