#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2019-04-22T10:27:52 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5cbd970941b4	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJS/168/213&tab:{J/ApJS/168/213/cef_CIE}&key:source=J/ApJS/168/213/cef_CIE&HTTPPRM:&
#-source=J/ApJS/168/213/cef_CIE
#-order=I
#-out=T
#-out=Lambda(Z=1e-3)
#Lambda(Z=1e-3)=
#-out=Lambda(Z=1e-2)
#Lambda(Z=1e-2)=
#-out=Lambda(Z=1e-1)
#Lambda(Z=1e-1)=
#-out=Lambda(Z=1)
#Lambda(Z=1)=
#-out=Lambda(Z=2)
#Lambda(Z=2)=
#

#RESOURCE=yCat_21680213
#Name: J/ApJS/168/213
#Title: Ionization states and cooling efficiencies (Gnat+, 2007)
#Table	J_ApJS_168_213_cef_CIE:
#Name: J/ApJS/168/213/cef_CIE
#Title: CIE (Collisional Ionization Equilibrium) cooling efficiencies
#Column	T	(E9.2)	Temperature	[ucd=phys.temperature]
#Column	Lambda(Z=1e-3)	(E8.1)	Z=1e-3 cooling efficiency (G1) (1)	[ucd=stat.param]
#Column	Lambda(Z=1e-2)	(E8.1)	Z=1e-2 cooling efficiency (1) (G1)	[ucd=stat.param]
#Column	Lambda(Z=1e-1)	(E8.1)	Z=1e-1 cooling efficiency (1) (G1)	[ucd=stat.param]
#Column	Lambda(Z=1)	(E8.1)	Z=1 cooling efficiency (1) (G1)	[ucd=stat.param]
#Column	Lambda(Z=2)	(E8.1)	Z=2 cooling efficiency (1) (G1)	[ucd=stat.param]
T	Lambda(Z=1e-3)	Lambda(Z=1e-2)	Lambda(Z=1e-1)	Lambda(Z=1)	Lambda(Z=2)
K	10-13W.m+3	10-13W.m+3	10-13W.m+3	10-13W.m+3	10-13W.m+3
---------	--------	--------	--------	--------	--------
 1.00e+04	 4.7e-24	 5.0e-24	 7.8e-24	 5.6e-23	 3.8e-22
 1.05e+04	 7.6e-24	 7.8e-24	 9.5e-24	 3.1e-23	 7.0e-23
 1.10e+04	 1.2e-23	 1.3e-23	 1.4e-23	 2.9e-23	 4.8e-23
 1.15e+04	 2.0e-23	 2.0e-23	 2.1e-23	 3.4e-23	 4.9e-23
 1.20e+04	 3.1e-23	 3.1e-23	 3.2e-23	 4.5e-23	 6.0e-23
 1.26e+04	 4.7e-23	 4.7e-23	 4.8e-23	 6.2e-23	 7.7e-23
 1.32e+04	 6.8e-23	 6.8e-23	 6.9e-23	 8.4e-23	 1.0e-22
 1.38e+04	 9.4e-23	 9.4e-23	 9.6e-23	 1.1e-22	 1.3e-22
 1.45e+04	 1.2e-22	 1.2e-22	 1.2e-22	 1.4e-22	 1.6e-22
 1.52e+04	 1.5e-22	 1.5e-22	 1.5e-22	 1.7e-22	 1.9e-22
 1.59e+04	 1.7e-22	 1.7e-22	 1.7e-22	 1.9e-22	 2.1e-22
 1.66e+04	 1.7e-22	 1.7e-22	 1.7e-22	 1.9e-22	 2.2e-22
 1.74e+04	 1.7e-22	 1.7e-22	 1.7e-22	 1.9e-22	 2.1e-22
 1.82e+04	 1.6e-22	 1.6e-22	 1.6e-22	 1.8e-22	 2.1e-22
 1.91e+04	 1.5e-22	 1.5e-22	 1.5e-22	 1.7e-22	 1.9e-22
 2.00e+04	 1.3e-22	 1.3e-22	 1.3e-22	 1.5e-22	 1.8e-22
 2.10e+04	 1.2e-22	 1.2e-22	 1.2e-22	 1.4e-22	 1.7e-22
 2.20e+04	 1.0e-22	 1.0e-22	 1.1e-22	 1.3e-22	 1.6e-22
 2.30e+04	 9.4e-23	 9.4e-23	 9.7e-23	 1.2e-22	 1.5e-22
 2.41e+04	 8.4e-23	 8.5e-23	 8.7e-23	 1.1e-22	 1.4e-22
 2.52e+04	 7.6e-23	 7.6e-23	 7.9e-23	 1.1e-22	 1.4e-22
 2.64e+04	 6.9e-23	 6.9e-23	 7.2e-23	 1.0e-22	 1.4e-22
 2.77e+04	 6.2e-23	 6.3e-23	 6.6e-23	 1.0e-22	 1.4e-22
 2.90e+04	 5.7e-23	 5.8e-23	 6.1e-23	 9.8e-23	 1.4e-22
 3.04e+04	 5.2e-23	 5.3e-23	 5.7e-23	 9.8e-23	 1.4e-22
 3.18e+04	 4.8e-23	 4.8e-23	 5.3e-23	 9.8e-23	 1.5e-22
 3.33e+04	 4.3e-23	 4.4e-23	 4.9e-23	 9.9e-23	 1.5e-22
 3.49e+04	 4.0e-23	 4.0e-23	 4.6e-23	 1.0e-22	 1.6e-22
 3.65e+04	 3.7e-23	 3.7e-23	 4.3e-23	 1.0e-22	 1.7e-22
 3.83e+04	 3.4e-23	 3.4e-23	 4.1e-23	 1.1e-22	 1.8e-22
 4.01e+04	 3.1e-23	 3.2e-23	 3.9e-23	 1.1e-22	 2.0e-22
 4.20e+04	 2.9e-23	 3.0e-23	 3.8e-23	 1.2e-22	 2.1e-22
 4.40e+04	 2.7e-23	 2.8e-23	 3.7e-23	 1.3e-22	 2.3e-22
 4.61e+04	 2.6e-23	 2.7e-23	 3.7e-23	 1.4e-22	 2.5e-22
 4.82e+04	 2.6e-23	 2.7e-23	 3.8e-23	 1.5e-22	 2.7e-22
 5.05e+04	 2.6e-23	 2.7e-23	 4.0e-23	 1.6e-22	 3.0e-22
 5.29e+04	 2.7e-23	 2.9e-23	 4.2e-23	 1.8e-22	 3.3e-22
 5.54e+04	 3.0e-23	 3.1e-23	 4.6e-23	 1.9e-22	 3.6e-22
 5.80e+04	 3.4e-23	 3.6e-23	 5.2e-23	 2.1e-22	 3.9e-22
 6.08e+04	 4.0e-23	 4.2e-23	 5.9e-23	 2.3e-22	 4.3e-22
 6.37e+04	 4.7e-23	 4.9e-23	 6.8e-23	 2.6e-22	 4.7e-22
 6.67e+04	 5.6e-23	 5.8e-23	 7.9e-23	 2.8e-22	 5.2e-22
 6.99e+04	 6.6e-23	 6.8e-23	 9.0e-23	 3.1e-22	 5.6e-22
 7.32e+04	 7.4e-23	 7.7e-23	 1.0e-22	 3.4e-22	 6.0e-22
 7.66e+04	 8.1e-23	 8.4e-23	 1.1e-22	 3.6e-22	 6.4e-22
 8.03e+04	 8.5e-23	 8.7e-23	 1.1e-22	 3.8e-22	 6.8e-22
 8.41e+04	 8.6e-23	 8.8e-23	 1.2e-22	 4.0e-22	 7.1e-22
 8.80e+04	 8.3e-23	 8.6e-23	 1.2e-22	 4.1e-22	 7.4e-22
 9.22e+04	 8.0e-23	 8.3e-23	 1.1e-22	 4.2e-22	 7.6e-22
 9.66e+04	 7.4e-23	 7.7e-23	 1.1e-22	 4.3e-22	 7.8e-22
 1.01e+05	 6.9e-23	 7.2e-23	 1.0e-22	 4.3e-22	 8.0e-22
 1.06e+05	 6.3e-23	 6.6e-23	 9.9e-23	 4.3e-22	 8.0e-22
 1.11e+05	 5.7e-23	 6.1e-23	 9.4e-23	 4.3e-22	 8.0e-22
 1.16e+05	 5.2e-23	 5.5e-23	 8.9e-23	 4.2e-22	 7.9e-22
 1.22e+05	 4.8e-23	 5.1e-23	 8.3e-23	 4.1e-22	 7.8e-22
 1.28e+05	 4.3e-23	 4.7e-23	 7.9e-23	 4.0e-22	 7.7e-22
 1.34e+05	 4.0e-23	 4.3e-23	 7.5e-23	 4.0e-22	 7.6e-22
 1.40e+05	 3.6e-23	 3.9e-23	 7.2e-23	 4.0e-22	 7.6e-22
 1.46e+05	 3.3e-23	 3.6e-23	 7.0e-23	 4.0e-22	 7.7e-22
 1.53e+05	 3.0e-23	 3.4e-23	 6.8e-23	 4.1e-22	 7.9e-22
 1.61e+05	 2.8e-23	 3.1e-23	 6.6e-23	 4.2e-22	 8.1e-22
 1.68e+05	 2.6e-23	 2.9e-23	 6.5e-23	 4.2e-22	 8.2e-22
 1.76e+05	 2.4e-23	 2.8e-23	 6.4e-23	 4.3e-22	 8.4e-22
 1.85e+05	 2.2e-23	 2.6e-23	 6.3e-23	 4.4e-22	 8.5e-22
 1.93e+05	 2.1e-23	 2.4e-23	 6.2e-23	 4.4e-22	 8.6e-22
 2.03e+05	 1.9e-23	 2.3e-23	 6.2e-23	 4.5e-22	 8.8e-22
 2.12e+05	 1.8e-23	 2.2e-23	 6.1e-23	 4.5e-22	 8.9e-22
 2.22e+05	 1.7e-23	 2.1e-23	 6.1e-23	 4.6e-22	 9.1e-22
 2.33e+05	 1.6e-23	 2.0e-23	 6.0e-23	 4.6e-22	 9.2e-22
 2.44e+05	 1.5e-23	 1.9e-23	 5.9e-23	 4.6e-22	 9.1e-22
 2.55e+05	 1.4e-23	 1.8e-23	 5.7e-23	 4.5e-22	 9.0e-22
 2.67e+05	 1.3e-23	 1.7e-23	 5.5e-23	 4.3e-22	 8.6e-22
 2.80e+05	 1.3e-23	 1.6e-23	 5.1e-23	 4.0e-22	 8.0e-22
 2.93e+05	 1.1e-23	 1.4e-23	 4.6e-23	 3.7e-22	 7.2e-22
 3.07e+05	 1.0e-23	 1.3e-23	 4.2e-23	 3.3e-22	 6.6e-22
 3.22e+05	 9.9e-24	 1.3e-23	 3.9e-23	 3.0e-22	 5.9e-22
 3.37e+05	 9.5e-24	 1.2e-23	 3.6e-23	 2.8e-22	 5.5e-22
 3.53e+05	 9.0e-24	 1.1e-23	 3.4e-23	 2.6e-22	 5.1e-22
 3.70e+05	 8.6e-24	 1.1e-23	 3.2e-23	 2.5e-22	 4.9e-22
 3.87e+05	 8.2e-24	 1.0e-23	 3.1e-23	 2.4e-22	 4.8e-22
 4.06e+05	 7.9e-24	 1.0e-23	 3.1e-23	 2.4e-22	 4.7e-22
 4.25e+05	 7.6e-24	 9.7e-24	 3.0e-23	 2.4e-22	 4.7e-22
 4.45e+05	 7.4e-24	 9.4e-24	 3.0e-23	 2.3e-22	 4.6e-22
 4.66e+05	 7.1e-24	 9.1e-24	 2.9e-23	 2.3e-22	 4.6e-22
 4.88e+05	 6.9e-24	 8.9e-24	 2.9e-23	 2.3e-22	 4.6e-22
